model,threshold,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none,tp,fp,n
M3_ebv,0.48,0.014373170082512642,-0.7500665424540855,0.0,6,2,289
M3_ebv,0.49,0.014112219282176538,-0.7843815726982833,0.0,6,2,289
M3_ebv,0.5,0.013840830449826988,-0.820069204152249,0.0,6,2,289
M3_ebv,0.51,0.013558364522279497,-0.857213473624744,0.0,6,2,289
M3_ebv,0.52,0.013264129181084196,-0.8959054209919263,0.0,6,2,289
M3_ebv,0.53,0.012957373187072073,-0.9362438342045205,0.0,6,2,289
M3_ebv,0.54,0.012637279975928988,-0.978336091469836,0.0,6,2,289
M3_ebv,0.55,0.01230296039984621,-1.0222991157247214,0.0,6,2,289
M3_ebv,0.56,0.011953444479396034,-1.0682604592639195,0.0,6,2,289
M3_ebv,0.57,0.011587672004506317,-1.1163595397119173,0.0,6,2,289
M3_ebv,0.58,0.011204481792717087,-1.166749052562201,0.0,6,2,289
M3_ebv,0.59,0.010802599375474724,-1.2195965904295718,0.0,6,2,289
M3_ebv,0.6,0.010380622837370242,-1.275086505190311,0.0,6,2,289
M3_ebv,0.61,0.009937006476798863,-1.3334220566054475,0.0,6,2,289
M3_ebv,0.62,0.00947004188672373,-1.3948279002003277,0.0,6,2,289
M3_ebv,0.63,0.008977835967455343,-1.4595529785841204,0.0,6,2,289
M3_ebv,0.64,0.00845828527489427,-1.5278738946559016,0.0,6,2,289
M3_ebv,0.65,0.007909045971329704,-1.6000988630746418,0.0,6,2,289
M3_ebv,0.66,0.007327498473437815,-1.6765723590474253,0.0,6,2,289
M3_ebv,0.67,0.0067107056726433845,-1.7576806123518929,0.0,6,2,289
M3_ebv,0.68,0.006055363321799304,-1.8438581314878895,0.0,6,2,289
M3_ebv,0.69,0.00535774081928787,-1.9355954905681432,0.0,6,2,289
M3_ebv,0.7,0.00461361014994233,-2.0334486735870816,0.0,6,2,289
M3_ebv,0.71,0.0038181601240902044,-2.138050351986636,0.0,6,2,289
M3_ebv,0.72,0.0029658922392486395,-2.2501235788433016,0.0,6,2,289
M3_ebv,0.73,0.00205049339997437,-2.3704985262078684,0.0,6,2,289
M3_ebv,0.74,0.0010646792653713072,-2.500133084908171,0.0,6,2,289
M3_ebv,0.75,0.0,-2.640138408304498,0.0,6,2,289
M3_ebv,0.76,-0.001153402537485585,-2.7918108419838523,0.0,6,2,289
M3_ebv,0.77,-0.0024071009477960002,-2.956672182939672,0.0,6,2,289
M3_ebv,0.78,0.008493236866939285,-3.136520918527839,0.0,6,1,289
M3_ebv,0.79,0.007744274180260335,-3.333498105124403,0.0,6,1,289
M3_ebv,0.8,0.00692041522491349,-3.5501730103806235,0.0,6,1,289
M3_ebv,0.81,0.006009834274266976,-3.7896558004006566,0.0,6,1,289
M3_ebv,0.82,0.004998077662437525,-4.055747789311802,0.0,6,1,289
M3_ebv,0.83,0.0038672908609810736,-4.353144718094849,0.0,6,1,289
M3_ebv,0.84,0.002595155709342562,-4.687716262975777,0.0,6,1,289
M3_ebv,0.85,0.0011534025374855816,-5.066897347174163,0.0,6,1,289
M3_ebv,0.86,-0.007414730598121599,-5.500247157686603,0.0,4,1,289
M3_ebv,0.87,-0.009315943571998934,-6.000266169816342,0.0,4,1,289
M3_ebv,0.88,-0.011534025374855827,-6.583621683967705,0.0,4,1,289
M3_ebv,0.89,-0.01415539477823215,-7.273041837055678,0.0,4,1,289
M3_ebv,0.9,-0.017301038062283745,-8.100346020761247,0.0,4,1,289
M3_ebv,0.91,-0.021145713187235692,-9.11149557862361,0.0,4,1,289
M3_ebv,0.92,-0.025951557093425632,-10.375432525951563,0.0,4,1,289
M3_ebv,0.93,-0.03213049925852697,-12.000494315373217,0.0,4,1,289
